,screen_name,lang,created_at,fav_count,retweet_count,text,location
70,UlfatulGold,in,2020-11-21 04:17:56,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Indonesia
71,BKNgoid,in,2020-11-21 04:16:33,551,69,"#SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal… https://t.co/ZNlifAQGKj","Jakarta, Indonesia"
72,DekiSulkarnain,in,2020-11-20 19:34:10,0,66,RT @BKNgoid: Inga...Inga...Pascaterima notifikasi dari DocuDigital #SobatBKN hanya diberikan kesempatan satu kali untuk mengunggah ulang ke…,Kapuas hulu - kalimantan barat
73,Diviola1,in,2020-11-20 15:00:21,0,300,"RT @BKNgoid: #SobatBKN, Penetapan TMT Peserta Lulus Seleksi CPNS 2019 Bergantung Usul Masuk Instansi https://t.co/UubdX3JUJN",
74,Maulinamakhmul,in,2020-11-20 15:00:11,0,66,RT @BKNgoid: Inga...Inga...Pascaterima notifikasi dari DocuDigital #SobatBKN hanya diberikan kesempatan satu kali untuk mengunggah ulang ke…,
75,BKNgoid,in,2020-11-20 13:18:31,27,0,Berita mengenai Rapat Monitoring dan Evaluasi Triwulan III dan Perkiraan Capaian Kinerja Triwulan IV Tahun Anggaran… https://t.co/fq6GRl8lbz,"Jakarta, Indonesia"
76,SUPRIYA28039536,in,2020-11-20 10:05:42,0,1,RT @bkn2surabaya: Inga...Inga...Pascaterima notifikasi dari DocuDigital #SobatBKN hanya diberikan kesempatan satu kali untuk mengunggah ula…,
77,bkn2surabaya,in,2020-11-20 10:02:53,9,1,Inga...Inga...Pascaterima notifikasi dari DocuDigital #SobatBKN hanya diberikan kesempatan satu kali untuk mengungg… https://t.co/medZcUGtpq,"Sidoarjo, Surabaya"
78,hartonoan_,in,2020-11-20 05:55:57,0,300,"RT @BKNgoid: #SobatBKN, Penetapan TMT Peserta Lulus Seleksi CPNS 2019 Bergantung Usul Masuk Instansi https://t.co/UubdX3JUJN",
79,OnikSri,in,2020-11-20 05:54:42,0,178,"RT @BKNgoid: Dalam masa pemberkasan CPNS2019 ini, #SobatBKN g perlu terlalu khwatir dg berkas yg sdh diunggah, apakah sdh memenuhi syarat /…",
80,one_ipin,in,2020-11-20 03:55:43,0,66,RT @BKNgoid: Inga...Inga...Pascaterima notifikasi dari DocuDigital #SobatBKN hanya diberikan kesempatan satu kali untuk mengunggah ulang ke…,"Blitar, Jawa Timur"
